"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
Druid,"Thu, 8 Jul 2021 23:41:47 -0700",accessors-smart-1.2.jar,/root/.m2/repository/net/minidev/accessors-smart/1.2/accessors-smart-1.2.jar,"Java reflect give poor performance on getter setter an constructor calls, accessors-smart use ASM to speed up those calls.","The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",c28b871d258b4d347559d2eb7ecec4a3,c592b500269bfde36096641b01238a8350f8aa31,pkg:maven/net.minidev/accessors-smart@1.2,"cpe:2.3:a:json-smart_project:json-smart-v1:1.2:*:*:*:*:*:*:*, cpe:2.3:a:json_smart_project:json_smart:1.2:*:*:*:*:*:*:*",CVE-2021-27568,CWE-754 Improper Check for Unusual or Exceptional Conditions,"An issue was discovered in netplex json-smart-v1 through 2015-10-23 and json-smart-v2 through 2.4. An exception is thrown from a function, but it is not caught, as demonstrated by NumberFormatException. When it is not caught, it may cause programs using the library to crash or expose sensitive information.",NVD,MEDIUM,6.4,/AV:N/AC:L/Au:N/C:P/I:N/A:P,CRITICAL,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,HIGH,30
Druid,"Thu, 8 Jul 2021 23:41:47 -0700",ambari-metrics-common-2.7.0.0.0.jar (shaded: com.google.guava:guava:14.0.1),/root/.m2/repository/org/apache/ambari/ambari-metrics-common/2.7.0.0.0/ambari-metrics-common-2.7.0.0.0.jar/META-INF/maven/com.google.guava/guava/pom.xml,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      Guava has two code dependencies - javax.annotation     per the JSR-305 spec and javax.inject per the JSR-330 spec.","",b9406eec5781ea391a26972c394bf129,7b4c8f117c11a8f1fcaf4f1b0fd07cbe756a1430,pkg:maven/com.google.guava/guava@14.0.1,cpe:2.3:a:google:guava:14.0.1:*:*:*:*:*:*:*,CVE-2018-10237,CWE-770 Allocation of Resources Without Limits or Throttling,"Unbounded memory allocation in Google Guava 11.0 through 24.x before 24.1.1 allows remote attackers to conduct denial of service attacks against servers that depend on this library and deserialize attacker-provided data, because the AtomicDoubleArray class (when serialized with Java serialization) and the CompoundOrdering class (when serialized with GWT serialization) perform eager allocation without appropriate checks on what a client has sent and whether the data size is reasonable.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,11
Druid,"Thu, 8 Jul 2021 23:41:47 -0700",ambari-metrics-common-2.7.0.0.0.jar (shaded: com.google.guava:guava:14.0.1),/root/.m2/repository/org/apache/ambari/ambari-metrics-common/2.7.0.0.0/ambari-metrics-common-2.7.0.0.0.jar/META-INF/maven/com.google.guava/guava/pom.xml,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      Guava has two code dependencies - javax.annotation     per the JSR-305 spec and javax.inject per the JSR-330 spec.","",b9406eec5781ea391a26972c394bf129,7b4c8f117c11a8f1fcaf4f1b0fd07cbe756a1430,pkg:maven/com.google.guava/guava@14.0.1,cpe:2.3:a:google:guava:14.0.1:*:*:*:*:*:*:*,CVE-2020-8908,CWE-732 Incorrect Permission Assignment for Critical Resource,"A temp directory creation vulnerability exists in all versions of Guava, allowing an attacker with access to the machine to potentially access data in a temporary directory created by the Guava API com.google.common.io.Files.createTempDir(). By default, on unix-like systems, the created directory is world-readable (readable by an attacker with access to the system). The method in question has been marked @Deprecated in versions 30.0 and later and should not be used. For Android developers, we recommend choosing a temporary directory API provided by Android, such as context.getCacheDir(). For other Java developers, we recommend migrating to the Java 7 API java.nio.file.Files.createTempDirectory() which explicitly configures permissions of 700, or configuring the Java runtime's java.io.tmpdir system property to point to a location whose permissions are appropriately configured.",NVD,LOW,2.1,/AV:L/AC:L/Au:N/C:P/I:N/A:N,LOW,3.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,HIGH,11
Druid,"Thu, 8 Jul 2021 23:41:47 -0700",ambari-metrics-common-2.7.0.0.0.jar (shaded: commons-io:commons-io:2.4),/root/.m2/repository/org/apache/ambari/ambari-metrics-common/2.7.0.0.0/ambari-metrics-common-2.7.0.0.0.jar/META-INF/maven/commons-io/commons-io/pom.xml,"The Commons IO library contains utility classes, stream implementations, file filters,  file comparators, endian transformation classes, and much more.","",a75b48557fe5da29195020755a5b1be7,9ece23effe8bce3904f3797a76b1ba6ab681e1b9,pkg:maven/commons-io/commons-io@2.4,cpe:2.3:a:apache:commons_io:2.4:*:*:*:*:*:*:*,CVE-2021-29425,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"In Apache Commons IO before 2.7, When invoking the method FileNameUtils.normalize with an improper input string, like ""//../foo"", or ""\\..\foo"", the result would be the same value, thus possibly providing access to files in the parent directory, but not further above (thus ""limited"" path traversal), if the calling code would use the result to construct a path value.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,HIGH,14
Druid,"Thu, 8 Jul 2021 23:41:47 -0700",ambari-metrics-common-2.7.0.0.0.jar (shaded: io.netty:netty:3.10.5.Final),/root/.m2/repository/org/apache/ambari/ambari-metrics-common/2.7.0.0.0/ambari-metrics-common-2.7.0.0.0.jar/META-INF/maven/io.netty/netty/pom.xml,"The Netty project is an effort to provide an asynchronous event-driven     network application framework and tools for rapid development of     maintainable high performance and high scalability protocol servers and     clients.  In other words, Netty is a NIO client server framework which     enables quick and easy development of network applications such as protocol     servers and clients. It greatly simplifies and streamlines network     programming such as TCP and UDP socket server.","Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0",2ac8377bb9512557e239da87572483bb,a83723b3e9f0e914e61de1cdee68ec81b46067dd,pkg:maven/io.netty/netty@3.10.5.Final,cpe:2.3:a:netty:netty:3.10.5:*:*:*:*:*:*:*,CVE-2019-16869,CWE-444 Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling'),"Netty before 4.1.42.Final mishandles whitespace before the colon in HTTP headers (such as a ""Transfer-Encoding : chunked"" line), which leads to HTTP request smuggling.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,HIGH,13
Druid,"Thu, 8 Jul 2021 23:41:47 -0700",ambari-metrics-common-2.7.0.0.0.jar (shaded: io.netty:netty:3.10.5.Final),/root/.m2/repository/org/apache/ambari/ambari-metrics-common/2.7.0.0.0/ambari-metrics-common-2.7.0.0.0.jar/META-INF/maven/io.netty/netty/pom.xml,"The Netty project is an effort to provide an asynchronous event-driven     network application framework and tools for rapid development of     maintainable high performance and high scalability protocol servers and     clients.  In other words, Netty is a NIO client server framework which     enables quick and easy development of network applications such as protocol     servers and clients. It greatly simplifies and streamlines network     programming such as TCP and UDP socket server.","Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0",2ac8377bb9512557e239da87572483bb,a83723b3e9f0e914e61de1cdee68ec81b46067dd,pkg:maven/io.netty/netty@3.10.5.Final,cpe:2.3:a:netty:netty:3.10.5:*:*:*:*:*:*:*,CVE-2019-20444,CWE-444 Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling'),"HttpObjectDecoder.java in Netty before 4.1.44 allows an HTTP header that lacks a colon, which might be interpreted as a separate header with an incorrect syntax, or might be interpreted as an ""invalid fold.""",NVD,MEDIUM,6.4,/AV:N/AC:L/Au:N/C:P/I:P/A:N,CRITICAL,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGH,13
Druid,"Thu, 8 Jul 2021 23:41:47 -0700",ambari-metrics-common-2.7.0.0.0.jar (shaded: io.netty:netty:3.10.5.Final),/root/.m2/repository/org/apache/ambari/ambari-metrics-common/2.7.0.0.0/ambari-metrics-common-2.7.0.0.0.jar/META-INF/maven/io.netty/netty/pom.xml,"The Netty project is an effort to provide an asynchronous event-driven     network application framework and tools for rapid development of     maintainable high performance and high scalability protocol servers and     clients.  In other words, Netty is a NIO client server framework which     enables quick and easy development of network applications such as protocol     servers and clients. It greatly simplifies and streamlines network     programming such as TCP and UDP socket server.","Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0",2ac8377bb9512557e239da87572483bb,a83723b3e9f0e914e61de1cdee68ec81b46067dd,pkg:maven/io.netty/netty@3.10.5.Final,cpe:2.3:a:netty:netty:3.10.5:*:*:*:*:*:*:*,CVE-2019-20445,CWE-444 Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling'),"HttpObjectDecoder.java in Netty before 4.1.44 allows a Content-Length header to be accompanied by a second Content-Length header, or by a Transfer-Encoding header.",NVD,MEDIUM,6.4,/AV:N/AC:L/Au:N/C:P/I:P/A:N,CRITICAL,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGH,13
Druid,"Thu, 8 Jul 2021 23:41:47 -0700",ambari-metrics-common-2.7.0.0.0.jar (shaded: io.netty:netty:3.10.5.Final),/root/.m2/repository/org/apache/ambari/ambari-metrics-common/2.7.0.0.0/ambari-metrics-common-2.7.0.0.0.jar/META-INF/maven/io.netty/netty/pom.xml,"The Netty project is an effort to provide an asynchronous event-driven     network application framework and tools for rapid development of     maintainable high performance and high scalability protocol servers and     clients.  In other words, Netty is a NIO client server framework which     enables quick and easy development of network applications such as protocol     servers and clients. It greatly simplifies and streamlines network     programming such as TCP and UDP socket server.","Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0",2ac8377bb9512557e239da87572483bb,a83723b3e9f0e914e61de1cdee68ec81b46067dd,pkg:maven/io.netty/netty@3.10.5.Final,cpe:2.3:a:netty:netty:3.10.5:*:*:*:*:*:*:*,CVE-2021-21290,"CWE-378 Creation of Temporary File With Insecure Permissions, CWE-379 Creation of Temporary File in Directory with Incorrect Permissions","Netty is an open-source, asynchronous event-driven network application framework for rapid development of maintainable high performance protocol servers & clients. In Netty before version 4.1.59.Final there is a vulnerability on Unix-like systems involving an insecure temp file. When netty's multipart decoders are used local information disclosure can occur via the local system temporary directory if temporary storing uploads on the disk is enabled. On unix-like systems, the temporary directory is shared between all user. As such, writing to this directory using APIs that do not explicitly set the file/directory permissions can lead to information disclosure. Of note, this does not impact modern MacOS Operating Systems. The method ""File.createTempFile"" on unix-like systems creates a random file, but, by default will create this file with the permissions ""-rw-r--r--"". Thus, if sensitive information is written to this file, other local users can read this information. This is the case in netty's ""AbstractDiskHttpData"" is vulnerable. This has been fixed in version 4.1.59.Final. As a workaround, one may specify your own ""java.io.tmpdir"" when you start the JVM or use ""DefaultHttpDataFactory.setBaseDir(...)"" to set the directory to something that is only readable by the current user.",NVD,LOW,1.9,/AV:L/AC:M/Au:N/C:P/I:N/A:N,MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,HIGH,13
Druid,"Thu, 8 Jul 2021 23:41:47 -0700",ambari-metrics-common-2.7.0.0.0.jar (shaded: io.netty:netty:3.10.5.Final),/root/.m2/repository/org/apache/ambari/ambari-metrics-common/2.7.0.0.0/ambari-metrics-common-2.7.0.0.0.jar/META-INF/maven/io.netty/netty/pom.xml,"The Netty project is an effort to provide an asynchronous event-driven     network application framework and tools for rapid development of     maintainable high performance and high scalability protocol servers and     clients.  In other words, Netty is a NIO client server framework which     enables quick and easy development of network applications such as protocol     servers and clients. It greatly simplifies and streamlines network     programming such as TCP and UDP socket server.","Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0",2ac8377bb9512557e239da87572483bb,a83723b3e9f0e914e61de1cdee68ec81b46067dd,pkg:maven/io.netty/netty@3.10.5.Final,cpe:2.3:a:netty:netty:3.10.5:*:*:*:*:*:*:*,CVE-2021-21295,CWE-444 Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling'),"Netty is an open-source, asynchronous event-driven network application framework for rapid development of maintainable high performance protocol servers & clients. In Netty (io.netty:netty-codec-http2) before version 4.1.60.Final there is a vulnerability that enables request smuggling. If a Content-Length header is present in the original HTTP/2 request, the field is not validated by `Http2MultiplexHandler` as it is propagated up. This is fine as long as the request is not proxied through as HTTP/1.1. If the request comes in as an HTTP/2 stream, gets converted into the HTTP/1.1 domain objects (`HttpRequest`, `HttpContent`, etc.) via `Http2StreamFrameToHttpObjectCodec `and then sent up to the child channel's pipeline and proxied through a remote peer as HTTP/1.1 this may result in request smuggling. In a proxy case, users may assume the content-length is validated somehow, which is not the case. If the request is forwarded to a backend channel that is a HTTP/1.1 connection, the Content-Length now has meaning and needs to be checked. An attacker can smuggle requests inside the body as it gets downgraded from HTTP/2 to HTTP/1.1. For an example attack refer to the linked GitHub Advisory. Users are only affected if all of this is true: `HTTP2MultiplexCodec` or `Http2FrameCodec` is used, `Http2StreamFrameToHttpObjectCodec` is used to convert to HTTP/1.1 objects, and these HTTP/1.1 objects are forwarded to another remote peer. This has been patched in 4.1.60.Final As a workaround, the user can do the validation by themselves by implementing a custom `ChannelInboundHandler` that is put in the `ChannelPipeline` behind `Http2StreamFrameToHttpObjectCodec`.",NVD,LOW,2.6,/AV:N/AC:H/Au:N/C:N/I:P/A:N,MEDIUM,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,HIGH,13
Druid,"Thu, 8 Jul 2021 23:41:47 -0700",ambari-metrics-common-2.7.0.0.0.jar (shaded: io.netty:netty:3.10.5.Final),/root/.m2/repository/org/apache/ambari/ambari-metrics-common/2.7.0.0.0/ambari-metrics-common-2.7.0.0.0.jar/META-INF/maven/io.netty/netty/pom.xml,"The Netty project is an effort to provide an asynchronous event-driven     network application framework and tools for rapid development of     maintainable high performance and high scalability protocol servers and     clients.  In other words, Netty is a NIO client server framework which     enables quick and easy development of network applications such as protocol     servers and clients. It greatly simplifies and streamlines network     programming such as TCP and UDP socket server.","Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0",2ac8377bb9512557e239da87572483bb,a83723b3e9f0e914e61de1cdee68ec81b46067dd,pkg:maven/io.netty/netty@3.10.5.Final,cpe:2.3:a:netty:netty:3.10.5:*:*:*:*:*:*:*,CVE-2021-21409,CWE-444 Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling'),"Netty is an open-source, asynchronous event-driven network application framework for rapid development of maintainable high performance protocol servers & clients. In Netty (io.netty:netty-codec-http2) before version 4.1.61.Final there is a vulnerability that enables request smuggling. The content-length header is not correctly validated if the request only uses a single Http2HeaderFrame with the endStream set to to true. This could lead to request smuggling if the request is proxied to a remote peer and translated to HTTP/1.1. This is a followup of GHSA-wm47-8v5p-wjpj/CVE-2021-21295 which did miss to fix this one case. This was fixed as part of 4.1.61.Final.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,MEDIUM,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N,HIGH,13
