"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",avro-1.10.2.jar,/root/.m2/repository/org/apache/avro/avro/1.10.2/avro-1.10.2.jar,Avro core components,https://www.apache.org/licenses/LICENSE-2.0.txt,fb4a62eb7b2c109d1b37d3e8ea0af837,a65aaa91c1aeceb3dd4859dbb9765d1c2063f5a2,pkg:maven/org.apache.avro/avro@1.10.2,cpe:2.3:a:apache:avro:1.10.2:*:*:*:*:*:*:*,CVE-2019-17195,CWE-754 Improper Check for Unusual or Exceptional Conditions,"Connect2id Nimbus JOSE+JWT before v7.9 can throw various uncaught exceptions while parsing a JWT, which could result in an application crash (potential information disclosure) or a potential authentication bypass.",NVD,MEDIUM,6.8,/AV:N/AC:M/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,39
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",avro-ipc-1.10.2.jar: jquery-1.4.2.min.js,/root/.m2/repository/org/apache/avro/avro-ipc/1.10.2/avro-ipc-1.10.2.jar/org/apache/avro/ipc/stats/static/jquery-1.4.2.min.js,"","",3c106cbb05b965a555fc68bace18f2e7,61ab5ef8e9b36f611747bf33eb2e68a426a6ef2d,pkg:javascript/jquery@1.4.2.min,"",CVE-2011-4969,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"Cross-site scripting (XSS) vulnerability in jQuery before 1.6.3, when using location.hash to select elements, allows remote attackers to inject arbitrary web script or HTML via a crafted tag.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,"","","",HIGHEST,3
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",avro-ipc-1.10.2.jar: jquery-1.4.2.min.js,/root/.m2/repository/org/apache/avro/avro-ipc/1.10.2/avro-ipc-1.10.2.jar/org/apache/avro/ipc/stats/static/jquery-1.4.2.min.js,"","",3c106cbb05b965a555fc68bace18f2e7,61ab5ef8e9b36f611747bf33eb2e68a426a6ef2d,pkg:javascript/jquery@1.4.2.min,"",CVE-2012-6708,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"jQuery before 1.9.0 is vulnerable to Cross-site Scripting (XSS) attacks. The jQuery(strInput) function does not differentiate selectors from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input to be HTML if it explicitly starts with the '<' character, limiting exploitability only to attackers who can control the beginning of a string, which is far less common.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",avro-ipc-1.10.2.jar: jquery-1.4.2.min.js,/root/.m2/repository/org/apache/avro/avro-ipc/1.10.2/avro-ipc-1.10.2.jar/org/apache/avro/ipc/stats/static/jquery-1.4.2.min.js,"","",3c106cbb05b965a555fc68bace18f2e7,61ab5ef8e9b36f611747bf33eb2e68a426a6ef2d,pkg:javascript/jquery@1.4.2.min,"",CVE-2015-9251,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"jQuery before 3.0.0 is vulnerable to Cross-site Scripting (XSS) attacks when a cross-domain Ajax request is performed without the dataType option, causing text/javascript responses to be executed.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",avro-ipc-1.10.2.jar: jquery-1.4.2.min.js,/root/.m2/repository/org/apache/avro/avro-ipc/1.10.2/avro-ipc-1.10.2.jar/org/apache/avro/ipc/stats/static/jquery-1.4.2.min.js,"","",3c106cbb05b965a555fc68bace18f2e7,61ab5ef8e9b36f611747bf33eb2e68a426a6ef2d,pkg:javascript/jquery@1.4.2.min,"",CVE-2019-11358,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"jQuery before 3.4.0, as used in Drupal, Backdrop CMS, and other products, mishandles jQuery.extend(true, {}, ...) because of Object.prototype pollution. If an unsanitized source object contained an enumerable __proto__ property, it could extend the native Object.prototype.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",avro-ipc-1.10.2.jar: jquery-1.4.2.min.js,/root/.m2/repository/org/apache/avro/avro-ipc/1.10.2/avro-ipc-1.10.2.jar/org/apache/avro/ipc/stats/static/jquery-1.4.2.min.js,"","",3c106cbb05b965a555fc68bace18f2e7,61ab5ef8e9b36f611747bf33eb2e68a426a6ef2d,pkg:javascript/jquery@1.4.2.min,"",CVE-2020-11022,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In jQuery versions greater than or equal to 1.2 and before 3.5.0, passing HTML from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",avro-ipc-1.10.2.jar: jquery-1.4.2.min.js,/root/.m2/repository/org/apache/avro/avro-ipc/1.10.2/avro-ipc-1.10.2.jar/org/apache/avro/ipc/stats/static/jquery-1.4.2.min.js,"","",3c106cbb05b965a555fc68bace18f2e7,61ab5ef8e9b36f611747bf33eb2e68a426a6ef2d,pkg:javascript/jquery@1.4.2.min,"",CVE-2020-11023,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In jQuery versions greater than or equal to 1.0.3 and before 3.5.0, passing HTML containing <option> elements from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",guava-14.0.1.jar,/root/.m2/repository/com/google/guava/guava/14.0.1/guava-14.0.1.jar,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      Guava has two code dependencies - javax.annotation     per the JSR-305 spec and javax.inject per the JSR-330 spec.",http://www.apache.org/licenses/LICENSE-2.0.txt,58553f87d83b9f8ec74bd3529083ee2f,69e12f4c6aeac392555f1ea86fab82b5e5e31ad4,pkg:maven/com.google.guava/guava@14.0.1,cpe:2.3:a:google:guava:14.0.1:*:*:*:*:*:*:*,CVE-2018-10237,CWE-770 Allocation of Resources Without Limits or Throttling,"Unbounded memory allocation in Google Guava 11.0 through 24.x before 24.1.1 allows remote attackers to conduct denial of service attacks against servers that depend on this library and deserialize attacker-provided data, because the AtomicDoubleArray class (when serialized with Java serialization) and the CompoundOrdering class (when serialized with GWT serialization) perform eager allocation without appropriate checks on what a client has sent and whether the data size is reasonable.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,5.9,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,21
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",guava-14.0.1.jar,/root/.m2/repository/com/google/guava/guava/14.0.1/guava-14.0.1.jar,"Guava is a suite of core and expanded libraries that include     utility classes, google's collections, io classes, and much     much more.      Guava has two code dependencies - javax.annotation     per the JSR-305 spec and javax.inject per the JSR-330 spec.",http://www.apache.org/licenses/LICENSE-2.0.txt,58553f87d83b9f8ec74bd3529083ee2f,69e12f4c6aeac392555f1ea86fab82b5e5e31ad4,pkg:maven/com.google.guava/guava@14.0.1,cpe:2.3:a:google:guava:14.0.1:*:*:*:*:*:*:*,CVE-2020-8908,CWE-732 Incorrect Permission Assignment for Critical Resource,"A temp directory creation vulnerability exists in all versions of Guava, allowing an attacker with access to the machine to potentially access data in a temporary directory created by the Guava API com.google.common.io.Files.createTempDir(). By default, on unix-like systems, the created directory is world-readable (readable by an attacker with access to the system). The method in question has been marked @Deprecated in versions 30.0 and later and should not be used. For Android developers, we recommend choosing a temporary directory API provided by Android, such as context.getCacheDir(). For other Java developers, we recommend migrating to the Java 7 API java.nio.file.Files.createTempDirectory() which explicitly configures permissions of 700, or configuring the Java runtime's java.io.tmpdir system property to point to a location whose permissions are appropriately configured.",NVD,LOW,2.1,/AV:L/AC:L/Au:N/C:P/I:N/A:N,LOW,3.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,HIGH,21
Spark Project Parent POM,"Fri, 9 Jul 2021 01:46:08 -0700",hadoop-client-runtime-3.3.1.jar (shaded: org.apache.hadoop.thirdparty:hadoop-shaded-guava:1.1.1),/root/.m2/repository/org/apache/hadoop/hadoop-client-runtime/3.3.1/hadoop-client-runtime-3.3.1.jar/META-INF/maven/org.apache.hadoop.thirdparty/hadoop-shaded-guava/pom.xml,"","",13ae395afc94c98a1f2249321af7cc0a,b2474c17499b5e86bdd72c9139950ef9ba447d68,pkg:maven/org.apache.hadoop.thirdparty/hadoop-shaded-guava@1.1.1,cpe:2.3:a:apache:hadoop:1.1.1:*:*:*:*:*:*:*,CVE-2013-2192,CWE-287 Improper Authentication,"The RPC protocol implementation in Apache Hadoop 2.x before 2.0.6-alpha, 0.23.x before 0.23.9, and 1.x before 1.2.1, when the Kerberos security features are enabled, allows man-in-the-middle attackers to disable bidirectional authentication and obtain sensitive information by forcing a downgrade to simple authentication.",NVD,LOW,3.2,/AV:A/AC:H/Au:N/C:P/I:P/A:N,"","","",HIGH,11
